Week,Total A,Total B,Percent Positive A,Percent Positive B,Total Tested,Percent Positive
201801,13018,2535,21.231,4.13432,61316,25.3653
201802,15149,3246,22.1879,4.75423,68276,26.9421
201803,14782,3905,21.3848,5.64927,69124,27.034
201804,16634,5350,20.7091,6.66069,80322,27.3698
201805,15193,6915,18.599,8.46524,81687,27.0643
201806,14116,7858,17.3434,9.65463,81391,26.9981
201807,11371,8210,15.1668,10.9506,74973,26.1174
201808,7177,6400,11.9549,10.6606,60034,22.6155
201809,4405,4559,9.08453,9.40213,48489,18.4867
201810,2897,3534,7.06965,8.62414,40978,15.6938
201811,2349,3384,6.38419,9.19715,36794,15.5813
201812,2023,3103,6.04928,9.27875,33442,15.328
201813,1708,2927,5.56932,9.54415,30668,15.1135
201814,1132,2337,4.1406,8.54823,27339,12.6888
201815,901,1917,3.59652,7.65208,25052,11.2486
201816,595,1424,2.76963,6.6285,21483,9.39813
201817,472,1074,2.44205,5.55671,19328,7.99876
201818,346,724,2.02398,4.23516,17095,6.25914
201819,191,467,1.2752,3.11791,14978,4.39311
201820,176,236,1.35249,1.81357,13013,3.16606
201821,119,163,1.00856,1.38147,11799,2.39003
201822,76,89,0.704421,0.824914,10789,1.52934
201823,73,80,0.752345,0.824487,9703,1.57683
201824,51,65,0.571173,0.727965,8929,1.29914
201825,49,38,0.576335,0.446954,8502,1.02329
201826,57,29,0.738055,0.375502,7723,1.11356
201827,44,25,0.639628,0.363425,6879,1.00305
201828,51,13,0.730031,0.186086,6986,0.916118
201829,57,15,0.833943,0.219459,6835,1.0534
201830,48,19,0.712907,0.282192,6733,0.995099
201831,43,17,0.683408,0.270184,6292,0.953592
201832,43,22,0.633284,0.324006,6790,0.95729
201833,36,18,0.509554,0.254777,7065,0.764331
201834,77,27,0.989336,0.34691,7783,1.33625
201835,98,33,1.12489,0.378788,8712,1.50367
201836,119,52,1.21602,0.531371,9786,1.74739
201837,155,48,1.28845,0.399002,12030,1.68745
201838,158,66,1.1986,0.500683,13182,1.69929
201839,169,52,1.14475,0.352232,14763,1.49699
201840,218,69,1.32185,0.418385,16492,1.74024
201841,222,81,1.23471,0.450501,17980,1.68521
201842,311,89,1.54511,0.44217,20128,1.98728
201843,337,98,1.58201,0.460051,21302,2.04206
201844,389,98,1.74588,0.439837,22281,2.18572
201845,543,95,2.33007,0.407655,23304,2.73773
201846,667,99,2.74621,0.407609,24288,3.15382
201847,893,72,3.64326,0.293746,24511,3.93701
201848,998,103,3.55628,0.367031,28063,3.92332
201849,1658,147,5.74996,0.509797,28835,6.25975
201850,3235,188,9.83522,0.571568,32892,10.4068
201851,5282,179,13.8497,0.469348,38138,14.3191
201852,6835,231,15.8743,0.536498,43057,16.4108
