Week,A(H3N2v),A (H1N1)pdm09,A(H3),A(Subtyping not performed),B,BVIC,BYAM
201801,0,320,3295,39,165,45,463
201802,0,393,3336,70,163,42,534
201803,0,406,2727,50,189,47,536
201804,0,540,2749,38,231,58,718
201805,0,542,2494,41,306,91,804
201806,0,544,2040,32,329,113,931
201807,0,495,1511,24,251,115,931
201808,0,306,1073,19,245,116,891
201809,0,246,588,12,204,88,699
201810,0,144,411,25,172,88,646
201811,0,188,277,25,174,70,542
201812,0,120,234,10,129,52,467
201813,0,132,220,8,107,62,455
201814,0,120,163,7,72,54,405
201815,0,101,102,2,54,40,297
201816,0,51,86,0,45,43,211
201817,0,56,53,1,53,28,138
201818,0,40,31,2,23,14,137
201819,0,16,20,0,8,6,68
201820,0,16,10,0,10,6,27
201821,0,18,6,0,8,4,20
201822,0,8,5,0,2,2,11
201823,0,7,3,0,3,3,9
201824,0,6,3,0,2,3,8
201825,1,1,3,0,0,3,6
201826,0,2,6,0,0,0,1
201827,0,9,5,0,1,0,6
201828,0,8,9,0,1,2,3
201829,0,15,5,0,3,2,4
201830,0,9,3,4,0,2,0
201831,0,7,10,3,0,0,1
201832,0,6,8,5,1,0,2
201833,0,5,9,6,1,0,2
201834,0,17,20,6,1,0,1
201835,0,10,6,0,0,0,2
201836,0,17,17,0,1,0,1
201837,0,29,14,0,0,1,5
201838,0,22,17,2,2,1,2
201839,0,20,13,0,0,0,3
201840,0,29,11,8,0,7,11
201841,0,52,11,8,5,3,5
201842,0,51,21,13,1,2,14
201843,0,74,35,3,3,0,13
201844,0,84,23,2,1,1,8
201845,0,117,27,14,4,4,7
201846,0,147,40,9,0,2,3
201847,0,211,53,9,1,2,5
201848,0,322,63,9,1,2,10
201849,0,356,89,14,8,3,7
201850,0,667,166,16,3,7,6
201851,0,1100,227,78,9,20,7
201852,0,1216,263,114,9,18,9
