Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2014,1,9.083098302,7.79573,8.20201,53539,4512,351
2014,2,9.781089893,7.87593,8.28201,55822,4999,461
2014,3,10.03700447,7.94428,8.35017,54588,5005,474
2014,4,9.658576261,7.99977,8.40546,54097,4783,442
2014,5,9.27957308,8.04157,8.44707,53968,4623,385
2014,6,8.970566207,8.06905,8.47436,53408,4476,315
2014,7,8.648809303,8.08179,8.48691,53834,4385,271
2014,8,7.971826173,8.07959,8.48451,52673,3990,209
2014,9,7.793790502,8.06246,8.46718,51695,3868,161
2014,10,8.014981273,8.03061,8.43515,52065,4048,125
2014,11,7.791530693,7.98451,8.38885,51787,3942,93
2014,12,7.603260764,7.92477,8.32892,51399,3834,74
2014,13,7.589215532,7.85226,8.25622,50888,3797,65
2014,14,7.622622229,7.768,8.17176,50888,3824,55
2014,15,7.498373775,7.67317,8.07674,50731,3730,74
2014,16,7.310380741,7.56914,7.97251,49929,3595,55
2014,17,7.116097366,7.45737,7.86055,49915,3498,54
2014,18,7.132073193,7.33946,7.74245,49677,3490,53
2014,19,7.055434135,7.21708,7.61988,50330,3512,39
2014,20,6.777362899,7.09198,7.49458,47939,3222,27
2014,21,6.719058591,6.96593,7.36833,48608,3242,24
2014,22,6.548904019,6.84072,7.24293,48176,3140,15
2014,23,6.779377302,6.71812,7.12014,47792,3220,20
2014,24,6.766445787,6.59988,7.00171,47839,3222,15
2014,25,6.476542484,6.48767,6.88931,47618,3077,7
2014,26,6.323086324,6.38307,6.78451,47461,2998,3
2014,27,6.337092864,6.28754,6.68879,47435,3000,6
2014,28,6.302529859,6.20243,6.60349,47473,2988,4
2014,29,6.246295826,6.12893,6.52979,47244,2944,7
2014,30,6.336012214,6.06804,6.46871,47159,2985,3
2014,31,6.230582628,6.02061,6.42108,46994,2923,5
2014,32,6.038914143,5.98727,6.38755,47078,2842,1
2014,33,6.147330596,5.96845,6.36854,46752,2869,5
2014,34,6.163153619,5.96439,6.36428,46778,2877,6
2014,35,6.064762231,5.97507,6.37477,46663,2825,5
2014,36,6.249868346,6.00031,6.39981,47473,2966,1
2014,37,6.142087671,6.03967,6.43899,46971,2881,4
2014,38,6.231022004,6.09255,6.49168,48082,2990,6
2014,39,6.24315896,6.15813,6.55706,48421,3017,6
2014,40,6.370177397,6.23541,6.63414,48366,3075,6
2014,41,6.381685575,6.32322,6.72176,49360,3142,8
2014,42,6.291888379,6.42025,6.81859,49238,3085,13
2014,43,6.547655438,6.52503,6.92318,49071,3202,11
2014,44,6.470504214,6.63602,7.03397,49007,3154,17
2014,45,6.305706282,6.75156,7.14932,51049,3208,11
2014,46,6.445103858,6.86994,7.2675,50550,3240,18
2014,47,6.493061504,6.98939,7.38676,52533,3380,31
2014,48,6.68067713,7.10817,7.50534,51866,3419,46
2014,49,7.020171381,7.2245,7.62147,52748,3620,83
2014,50,7.383202002,7.33666,7.73344,53554,3785,169
2014,51,8.07366995,7.44301,7.83959,54622,4098,312
2014,52,8.524309274,7.54196,7.93834,56028,4264,512
2014,53,10.1910828,7.63206,8.02824,59346,5034,1014
2015,1,10.81133603,7.71197,8.10795,61750,5576,1100
2015,2,10.74681537,7.7805,8.17628,61153,5589,983
2015,3,10.05235066,7.83664,8.23221,58643,5184,711
2015,4,9.500453816,7.87954,8.27491,57292,4857,586
2015,5,9.10707437,7.90856,8.30373,57362,4740,484
2015,6,8.80847308,7.92325,8.31822,56650,4585,405
2015,7,8.445534596,7.92338,8.31814,56669,4501,285
2015,8,8.48601051,7.90891,8.30347,56328,4559,221
2015,9,8.382004177,7.88004,8.2744,56502,4546,190
2015,10,8.262757482,7.83716,8.23131,55732,4446,159
2015,11,7.960701497,7.78086,8.1748,54455,4196,139
2015,12,7.533707865,7.71192,8.10566,53400,3902,121
2015,13,7.410331604,7.63133,8.02486,53196,3843,99
2015,14,7.453674787,7.54022,7.93354,52833,3838,100
2015,15,7.565870359,7.43988,7.83299,52869,3925,75
2015,16,7.497820401,7.33173,7.72462,51615,3807,63
2015,17,7.19156128,7.21731,7.60998,51477,3652,50
2015,18,6.922972738,7.09822,7.49069,51683,3550,28
2015,19,6.896075725,6.97618,7.36842,50710,3475,22
2015,20,6.588911837,6.85289,7.24492,49386,3240,14
2015,21,6.803499057,6.73011,7.12192,49842,3373,18
2015,22,6.512647692,6.60957,7.00116,49258,3198,10
2015,23,6.475253489,6.49296,6.88433,49805,3214,11
2015,24,6.426128034,6.38194,6.77309,49112,3150,6
2015,25,6.52563789,6.27806,6.66898,49068,3198,4
2015,26,6.332507413,6.18276,6.57346,49238,3112,6
2015,27,6.308993585,6.09738,6.48785,48946,3081,7
2015,28,6.170057254,6.02309,6.41334,49254,3032,7
2015,29,6.191670435,5.96092,6.35094,48646,3009,3
2015,30,5.998192944,5.9117,6.30148,48698,2917,4
2015,31,6.110156687,5.87608,6.26563,48313,2948,4
2015,32,5.914580999,5.85451,6.24383,48186,2842,8
2015,33,6.068922823,5.84725,6.23634,48460,2935,6
2015,34,6.000206122,5.85434,6.24318,48515,2906,5
2015,35,6.038478894,5.8756,6.26421,48754,2941,3
2015,36,6.048312742,5.91066,6.29903,48807,2949,3
2015,37,6.165376682,5.95895,6.34708,48967,3013,6
2015,38,6.205245755,6.01971,6.40759,49297,3051,8
2015,39,6.272119142,6.09198,6.47962,48883,3060,6
2015,40,6.302356533,6.17466,6.56206,51092,3206,14
2015,41,6.299716193,6.26649,6.65364,50034,3145,7
2015,42,6.368188513,6.36607,6.75297,50925,3227,16
2015,43,6.313516512,6.47191,6.85855,50479,3170,17
2015,44,6.595145973,6.5824,6.96879,51174,3355,20
2015,45,6.388680881,6.69589,7.08203,50746,3228,14
2015,46,6.504535804,6.81068,7.19657,51810,3357,13
2015,47,6.507933425,6.92506,7.31069,51491,3337,14
2015,48,6.689971765,7.03731,7.42268,52063,3461,22
2015,49,6.617920667,7.14576,7.53087,53748,3537,20
2015,50,6.71169189,7.24878,7.63363,52267,3482,26
2015,51,6.672430644,7.34485,7.72944,53204,3535,15
2015,52,7.518725524,7.43252,7.81684,52602,3924,31
2016,1,7.658972476,7.51048,7.89454,55843,4245,32
2016,2,7.760404484,7.57756,7.96135,55577,4283,30
2016,3,7.396004998,7.63275,8.01628,55219,4048,36
2016,4,7.484325315,7.67521,8.05847,55663,4116,50
2016,5,7.521401625,7.70428,8.08727,55136,4086,61
2016,6,7.362328248,7.71952,8.10224,55458,3990,93
