"","state","freq"
"1","New Jersey",194
"2","Alabama",81
"3","Alaska",1
"4","Arizona",68
"5","Arkansas",52
"6","California",703
"7","Colorado",87
"8","Connecticut",43
"9","Delaware",15
"10","Florida",256
"11","Georgia",240
"12","Hawaii",1
"13","Idaho",22
"14","Illinois",258
"15","Indiana",103
"16","Iowa",37
"17","Kansas",160
"18","Kentucky",93
"19","Louisiana",148
"20","Maine",20
"21","Maryland",97
"22","Massachusetts",161
"23","Michigan",109
"24","Minnesota",78
"25","Mississippi",44
"26","Missouri",160
"27","Montana",17
"28","Nebraska",49
"29","Nevada",63
"30","New Hampshire",19
"31","New Mexico",29
"32","New York",644
"33","North Carolina",229
"34","North Dakota",6
"35","Ohio",274
"36","Oklahoma",138
"37","Oregon",86
"38","Pennsylvania",205
"39","Rhode Island",14
"40","South Carolina",79
"41","South Dakota",11
"42","Tennessee",128
"43","Texas",722
"44","Utah",33
"45","Vermont",5
"46","Virginia",149
"47","Washington",170
"48","West Virginia",28
"49","Wisconsin",47
"50","Wyoming",8
